ticker,month,open,high,low,close,volume,vwap
AMZN,2013-01,12.804,14.236,12.663,13.275,1684528000,13.275
AMZN,2013-02,13.4465,13.715,12.7555,13.2135,1373234000,13.2135
AMZN,2013-03,13.788,13.87,12.6035,13.3245,1170114000,13.3245
AMZN,2013-04,13.349,13.79,12.428,12.6905,1538324000,12.6905
AMZN,2013-05,13.298,13.5955,12.2875,13.46,1181010000,13.46
AMZN,2013-06,13.35,14.167,13.1475,13.8845,1171516000,13.8845
AMZN,2013-07,14.052,15.681,13.858,15.061,1350738000,15.061
AMZN,2013-08,15.154,15.3105,13.9665,14.049,875478000,14.049
AMZN,2013-09,14.6815,16.0285,14.2085,15.632,869376000,15.632
AMZN,2013-10,15.711,18.42,14.825,18.2015,1545908000,18.2015
AMZN,2013-11,17.8695,19.705,17.094,19.681,1084154000,19.681
AMZN,2013-12,19.729,20.2815,18.975,19.6685,1113734000,19.6685
AMZN,2014-01,19.94,20.403,17.888,17.9345,1620238000,17.9345
AMZN,2014-02,17.949,18.2935,16.8865,18.105,1660180000,18.105
AMZN,2014-03,18.6345,19.1555,16.544,16.8185,1505070000,16.8185
AMZN,2014-04,17.2995,17.415,14.4,15.2065,2765574000,15.2065
AMZN,2014-05,14.64,15.7435,14.219,15.6275,1571584000,15.6275
AMZN,2014-06,15.6295,17.036,15.192,16.239,1531602000,16.239
AMZN,2014-07,16.293,18.2425,15.593,15.6495,1988520000,15.6495
AMZN,2014-08,15.665,17.3335,15.2295,16.952,1240634000,16.952
AMZN,2014-09,17.1845,17.469,15.882,16.122,1360656000,16.122
AMZN,2014-10,16.102,16.258,14.2,15.273,2221174000,15.273
AMZN,2014-11,15.6,17.063,14.6145,16.932,1379674000,16.932
AMZN,2014-12,15.4435,17.032,14.6515,15.5175,1736428000,15.5175
AMZN,2015-01,15.629,17.975,14.2625,17.7265,2061142000,17.7265
AMZN,2015-02,17.5025,19.4685,17.5005,19.008,1416924000,19.008
AMZN,2015-03,19.2855,19.421,18.2825,18.605,1110056000,18.605
AMZN,2015-04,18.605,22.6325,18.417,21.089,1688096000,21.089
AMZN,2015-05,21.4,21.95,20.7275,21.4615,1039660000,21.4615
AMZN,2015-06,21.72,22.352,20.957,21.5495,1099750000,21.5495
AMZN,2015-07,21.9675,29.0285,21.2785,26.8075,2041400000,26.8075
AMZN,2015-08,26.8725,27.137,22.55,25.6445,1657264000,25.6445
AMZN,2015-09,25.2545,27.489,24.525,25.5945,1535378000,25.5945
AMZN,2015-10,27.313,31.536,25.3,31.295,1942522000,31.295
AMZN,2015-11,33.1785,34.1385,31.0205,33.24,1746098000,33.24
AMZN,2015-12,34.5945,34.822,31.7635,33.7945,1803750000,33.7945
AMZN,2016-01,32.8145,32.886,27.359,29.35,2604018000,29.35
AMZN,2016-02,28.9075,29.09,23.7,27.626,2482896000,27.626
AMZN,2016-03,29.0535,30.162,26.929,29.682,1880190000,29.682
AMZN,2016-04,29.376,33.499,29.2625,32.9795,1569284000,32.9795
AMZN,2016-05,35.5065,36.2115,32.8,36.1395,1812290000,36.1395
AMZN,2016-06,36.045,36.575,34.106,35.781,1490818000,35.781
AMZN,2016-07,35.866,38.3,35.827,37.9405,1372710000,37.9405
AMZN,2016-08,38.1905,38.749,37.5175,38.458,1000008000,38.458
AMZN,2016-09,38.7055,41.9975,37.8,41.8655,1346714000,41.8655
AMZN,2016-10,41.075,42.3605,38.7305,39.491,1541276000,39.491
AMZN,2016-11,36.5,40.042,35.505,37.5285,2201718000,37.5285
AMZN,2016-12,38.62,39.123,36.835,37.4935,1473204000,37.4935
AMZN,2017-01,37.896,42.192,37.385,41.174,1412280000,41.174
AMZN,2017-02,41.4605,43.043,40.15,42.252,1434966000,42.252
AMZN,2017-03,42.36,44.5175,41.675,44.327,1214214000,44.327
AMZN,2017-04,44.4,47.4795,44.2245,46.2495,1470794000,46.2495
AMZN,2017-05,48.05,50.06,46.39,49.731,1524040000,49.731
AMZN,2017-06,49.9295,50.85,46.35,48.4,1922708000,48.4
AMZN,2017-07,48.6395,54.1655,47.55,49.389,1576248000,49.389
AMZN,2017-08,49.8055,50.32,46.8165,49.03,1547836000,49.03
AMZN,2017-09,48.416,50.0,46.5875,48.0675,1185836000,48.0675
AMZN,2017-10,52.907,56.1395,47.5185,55.264,1666682000,55.264
AMZN,2017-11,56.3505,60.6705,54.3435,58.8375,1543300000,58.8375
AMZN,2017-12,59.1175,59.739,56.237,59.305,1155204000,59.305
AMZN,2018-01,58.6,73.629,58.5255,72.5445,1927424000,72.5445
AMZN,2018-02,72.25,76.435,63.2965,75.6225,2755680000,75.6225
AMZN,2018-03,76.326,80.877,68.26,72.367,2608002000,72.367
AMZN,2018-04,70.881,81.905,67.644,69.6025,2598392000,69.6025
AMZN,2018-05,78.875,81.75,77.301,81.481,1432310000,81.481
AMZN,2018-06,81.8515,88.155,81.7545,84.99,1718826000,84.99
AMZN,2018-07,84.135,94.0025,83.903,88.872,1950422000,88.872
AMZN,2018-08,95.197,101.2785,88.801,100.6355,1931516000,100.6355
AMZN,2018-09,100.3255,102.525,93.25,100.15,1888910000,100.15
AMZN,2018-10,78.4995,101.6595,73.818,76.521,3664416000,76.521
AMZN,2018-11,82.816,89.2,71.0,84.5085,2785800000,84.5085
AMZN,2018-12,88.473,88.917,65.35,75.0985,3096254000,75.0985
AMZN,2019-01,76.0005,86.8205,73.0465,85.9365,2680034000,85.9365
AMZN,2019-02,81.944,83.653,78.338,81.9915,1618738000,81.9915
AMZN,2019-03,85.1475,91.1875,79.3285,89.0375,2016644000,89.0375
AMZN,2019-04,90.551,97.817,89.9365,96.326,1624784000,96.326
AMZN,2019-05,94.297,98.22,88.635,88.7535,1964288000,88.7535
AMZN,2019-06,95.455,96.76,83.6,95.214,1494930000,95.214
AMZN,2019-07,95.969,101.79,92.472,93.339,1462976000,93.339
AMZN,2019-08,89.8745,94.896,87.1755,89.32,1595424000,89.32
AMZN,2019-09,91.0975,92.683,85.461,86.7955,1223458000,86.7955
AMZN,2019-10,86.387,89.9425,84.253,88.833,1407210000,88.833
AMZN,2019-11,87.5715,91.2345,86.1355,90.04,1041524000,90.04
AMZN,2019-12,88.0,95.07,86.75,89.08,1362992000,89.08
AMZN,2020-01,93.75,102.786,90.767,100.436,1693966000,100.436
AMZN,2020-02,101.494,109.2975,90.5565,94.1875,1850202000,94.1875
AMZN,2020-03,96.65,99.8165,81.3015,97.486,3276182000,97.486
AMZN,2020-04,117.3,123.75,94.4575,123.7,2492196000,123.7
AMZN,2020-05,118.426,126.2725,112.819,122.1185,1651688000,122.1185
AMZN,2020-06,123.35,139.8,121.8565,137.941,1756366000,137.941
AMZN,2020-07,137.8995,167.2145,137.7,158.234,2550040000,158.234
AMZN,2020-08,159.0255,174.75,153.65,172.548,1670332000,172.548
AMZN,2020-09,177.35,177.6125,143.55,157.4365,2317986000,157.4365
AMZN,2020-10,157.6815,174.812,150.95,151.8075,2324522000,151.8075
AMZN,2020-11,156.1,168.34,147.506,158.402,1816210000,158.402
AMZN,2020-12,159.425,167.5325,153.641,162.8465,1551124000,162.8465
AMZN,2021-01,163.5,168.1945,154.3,160.31,1430578000,160.31
AMZN,2021-02,162.118,171.7,151.835,154.6465,1442140000,154.6465
AMZN,2021-03,154.059,159.1,144.05,154.704,1563760000,154.704
AMZN,2021-04,168.55,177.7,155.7775,173.371,1536792000,173.371
AMZN,2021-05,159.278,174.3325,156.3685,161.1535,1503678000,161.1535
AMZN,2021-06,172.053,176.243,158.61,172.407,1340220000,172.407
AMZN,2021-07,171.7305,188.654,165.349,166.3795,1674586000,166.3795
AMZN,2021-08,171.24,173.629,158.788,171.0785,1256964000,171.0785
AMZN,2021-09,174.738,177.4995,163.6995,164.252,1250554000,164.252
AMZN,2021-10,164.4505,173.95,158.8125,168.6215,1273466000,168.6215
AMZN,2021-11,176.85,188.1075,164.1775,175.3535,1515990000,175.3535
AMZN,2021-12,173.0,177.994,165.195,166.717,1287634000,166.717
AMZN,2022-01,167.55,171.4,135.352,149.5735,1524654000,149.5735
AMZN,2022-02,150.0,163.8345,138.333,153.563,1689604000,153.563
